Mode,Strategy,Human Choice,Computer Choice,Coin,Outcome
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,heads,heads,Lose
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,heads,Lose
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,heads,tails,Win
Simulation,Tails,tails,tails,tails,Draw
Simulation,Tails,tails,tails,tails,Draw
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Heads,Heads,Tails,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Tails,Tails,Tails,Draw
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Tails,Heads,Tails,Win
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Tails,Heads,Heads,Lose
Simulation,Random,Heads,Tails,Tails,Lose
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Tails,Heads,Win
Simulation,Random,Heads,Heads,Heads,Draw
Simulation,Random,Tails,Tails,Heads,Lose
Simulation,Random,Heads,Heads,Heads,Draw
